구 분,용 어,설 명
332,혼합형펀드(balanced fund),주식형이나 채권 형 이외의 펀드로 주식과 채권의 효율적 자산 배분을 통해 주식의 수익성과 채권의 안정성을 동시에 추구하는 펀드를 의미. 주식에 상대적으로 더 많이 투자하는 주식혼합형과 채권에 상대적으로 더 많이 투자하는 채권혼합형으로 구분
333,화의,파산을 예방할 목적으로 채무 정리에 관하여 채권자와 채무자 사이에 맺는 강제 계약
334,확정급여채무 [VBO : Vested Benefit Obligation] ,"현시점에서 제도를 종료시킨다는 가정 하에 지급해야 할 금액(수급권이 확보된 금액). 즉, 수급권 획득자는 급부 수급 중인 자, 퇴직한 연금수급권자, 수급권이 있는 근로자가 됨. "
335,확정급여채무 현재가치(기초/기말PBO),기초/기말 근로자명부를 가지고 PUC방식에 의해 산출된 과거근무채무(PSL)의 총액으로 회계상 표기 시 확정급여채무(PBO)라 표기 함
336,확정급여채무 현재가치(PBO),기말의 근로자명부를 가지고 PUC방식에 의해 산출된 과거근무채무(PSL)의 총액으로 회계상 표기 시 확정급여채무(PBO)라 표기함
337,확정급여형 퇴직연금(Defined Benefit Plan),근로자가 지급받을 급여의 수준이 사전에 결정되어 있는 퇴직연금. 근로자가 받게 될 퇴직급여를 사전에 연금규약에 정해진 급여공식에 의해 산출하고 사용자의 부담금 수준은 적립금의 운용수익에 따라 변동되는 퇴직연금제도
338,확정급여형(DB),근로자가 받을 퇴직급여의 수준이 사전에 결정되는 제도->법정 퇴직급여 : 30일분 이상의 평균 임금 *근속년수별 지급률
339,확정급여형기업연금제도,급여의 지급을 위하여 사용자가 부담하여야 할 부담금의 수준이 사전에 결정되어 있는 퇴직연금제도
340,확정기여형 퇴직연금(Defined Contribution Plan),"급여의 지급을 위하여 사용자가 부담하여야 할 부담금의 수준이 사전에 결정되어 있는 퇴직연금. 사용자의 부담금 수준이 미리확정되어 있고, 퇴직급여 수준이 개인계좌의 적립금 운용수익에 따라 변동되는 퇴직연금제도"
341,확정기여형(DC),기업이 적립해야 할 부담금이 일정비율로 사전에 정해져 있는 제도. ->법정 부담금 : 근로자 연간 임금 총액의 1/12 이상
342,확정연금,"지급기간별로 구분하는 연금형태의 하나로 수급자의 생사에 관계없이 연금지급 기간이 일정기간으로 한정되어 있으며, 해당기간 이후에는 수급권자가 생존해 있더라도 연금이 지급되지 않음"
343,환매,"판매회사가 고객에게 매각한 수익증권을 고객의 요청에 따라 일정한 조건(환매수수료 부과) 등으로 판매회사가 다시 매입하는 것. 개방형 뮤추얼펀드는 언제든 환매가 가능하나, 폐쇄형 뮤추얼펀드는 만기까지 환매가 불가능"
344,환매수수료,정해진 투자기간 이전에 펀드를 환매(투자자의 입장에서는 출금 또는 해지)할 때 부과되는 수수료. 수익자의 환매를 억제함으로써 투자신탁의 운용에 안정을 기하고 환매에 따른 사무처리 비용에 충당하기 위해 징구하는 일종의 중도해지 수수료의 성격을 지님
345,환매조건부채권,발행기관이 약정기간의 경과 후에 일정한 가격으로 동일한 채권을 다시 사거나 파는 조건으로 채권을 매매하는 것으로 경과기간에 따른 확정이자를 지급하는 채권
346,회사정리개시,재정적 궁핍으로 파탄에 직면하였으나 갱생(更生)의 가망이 있는 주식회사에 관하여 채권자 ·주주 그 밖의 이해관계인의 이익을 조정하며 그 사업의 정리·재건을 꾀하는 절차
347,후생연금기금제도,"1966년에 일본에서 개시되었으며 공적연금인 후생연금보험의 소득비례부분을 적용제외하여 대행하는 제도. 후생연금보험의 보수비례부분을 국가를 대신하여 지급하고, 여기에 기업 자체의 연금을 부가하여 지급함으로써 근로자의 노후소득 충실을 도모. 공적급부의 일부를 대행함에 따라 국가에 납부하는 후생연금부담금의 일부가 면제됨 "
348,후순위채권,채권 발행기업이 파산하였을 경우 채무 변제범위에서 일반 채권보다는 뒤지나 우선주나 보통주보다는 우선하는 채권
349,Base-up율,"호봉, 직급 등의 상승에 의한 급여인상률인 승급률 이외에 물가 상승 등을 반영하는 급여인상률"
350,Bundled Service,"단일 금융기관이 투자, Record-keeping, 업무처리 및 교육 등의 전반적인 퇴직연금 서비스를 모두 제공하는 형태. 기업은 단일 금융기관을 통해 퇴직연금 전반에 대한 One-stop 서비스가 가능함"
351,Cash Balance Plan(CBP),퇴직급여지급률을 DC형처럼 율로 납입하는 것으로 가정하여 납입된 부담금은 보증이율로 이자를 가산하여 개인별가상계좌에 적립하여 퇴직 시 지급
352,CD,정기예금을 양도가 가능하게 하여 문서로 증서화 함으로써 유동성을 부여한 무기명 정기예금증서
353,CMA,예탁금을 어음이나 채권에 투자하여 그 수익을 고객에게 돌려주는 실적배당 금융상품
354,EET 세제체계(EET system),부담금 납입단계와 적립금 운용단계에서 비과세 후 연금급여 수령단계에서 연금소득으로 과세하는 세제 체계
355,ERISA,"1974년 제정된 미국의 근로자 퇴직연금 보장법. 기업의 연금기금이 확보되어 있다는 것을 매년 계리사가 공인하고 세무서에 보고하도록 하고 있으며, 가입자는 해당 제도정보에 대한 알 권리를 보장받음"
356,ETE 세제체계(ETE system),"부담금 납입단계에서 소득공제로 비과세하고, 적립금 운용단계에서 발생하는 투자수익에 대해 과세 후 연금급여 수령단계에서 비과세하는 세제 체계"
357,GIC,생명보험 회사가 퇴직연금기금 등에서 자금운용을 위탁 받아 미리 약정한 원리금을 기금에 지불하는 보험형태 연금계약의 일종 
358,MMDA,금융기관이 취급하는 수시입출식 저축성예금의 하나로 은행 시장금리부 수시입출금예금이라고도 함. 보통예금처럼 입출금이 자유롭고 각종 이체와 결제가 가능하며 예금자보호법에 의하여 5000만원 한도 내에서 보호를 받음
359,MMF(Money Market Fund),기업어음(CP)·양도성 예금증서(CD)·콜론 등 주로 단기금융상품에 집중 투자하여 얻은 수익을 고객에게 되돌려 주는 안정적이고 유동성이 높은 초단기 금융상품
360,PUC,"가입자별 퇴직사유별 장래급여의 현재가치를 퇴직시점까지 근무년수에 대한 현재 시점까지 근속년수의 비율로 할당하는 금액을 수리채무로 하고 계산기준일부터 1년간 가입기간 증가에 대응하여 예측되는 수리채무 증가를 표준부담금으로 하며, 과거근무채무는 별도 설정하여 보충 부담금으로 생각하는 재정 방식"
361,TEE 시스템(EE system),"부담금 납입단계에서 과세하고, 적립금 운용단계에서 발생하는 투자수익 및 급여수령단계에서의 연금소득에 대해 비과세하는 세제 체계"
362,Umbrella fund,성격이 다른 여러 개의 하위펀드들 사이에 전환이 자유로운 펀드
363,Unbundled Service,"여러 금융기관을 통해 퇴직연금 서비스를 제공받는 형태로 기업은 투자, 기록관리, 업무처리 등 각 분야의 전문회사를 고를 수 있는 장점이 있음"
